,County Name,Date Local,Month,AQI,Category,Latitude,Longitude,AQI_so2,Arithmetic Mean_so2,1st Max Value_so2,AQI_no2,Arithmetic Mean_no2,1st Max Value_no2,AQI_co,Arithmetic Mean_co,1st Max Value_co,AQI_ozone,Arithmetic Mean_ozone,1st Max Value_ozone,Arithmetic Mean_temp,1st Max Value_temp,Arithmetic Mean_wind,1st Max Value_wind
271,Fresno,2020-10-08,10,156,Unhealthy,36.985119,-119.658339,3.0,0.6431675,1.95,25.5,15.8480675,27.266666666666666,7.333333333333333,0.4676185,0.6973333333333334,40.142857142857146,0.027822857142857142,0.04285714285714286,114.784375125,170.0875,114.784375125,170.0875
272,Fresno,2020-10-09,10,75,Moderate,36.710833,-119.7775,0.0,0.1416665,0.25,20.0,11.8949275,21.866666666666664,5.666666666666667,0.39992483333333334,0.539,37.57142857142857,0.024352999999999996,0.04057142857142858,130.5763020625,174.3625,130.5763020625,174.3625
273,Fresno,2020-10-10,10,71,Moderate,36.985119,-119.658339,0.0,0.1479165,0.35,17.5,9.016436166666667,19.166666666666668,6.0,0.3355686666666666,0.5398333333333333,38.0,0.028184999999999998,0.04114285714285714,125.7984374375,168.825,125.7984374375,168.825
274,Fresno,2020-10-11,10,36,Good,36.597442,-119.503659,0.0,0.1125,0.25,13.833333333333334,6.839855166666666,15.083333333333334,4.0,0.24587433333333333,0.39399999999999996,32.714285714285715,0.02533614285714286,0.03557142857142857,143.36171875,164.96875,143.36171875,164.96875
275,Fresno,2020-10-12,10,61,Moderate,36.705474,-119.741332,1.0,0.375,1.1,28.333333333333332,15.983188333333333,30.483333333333334,7.0,0.41457883333333334,0.6781666666666667,43.142857142857146,0.02857,0.046571428571428576,97.426822875,161.54375,97.426822875,161.54375
276,Fresno,2020-10-13,10,71,Moderate,36.597442,-119.503659,16.0,0.7875000000000001,7.8999999999999995,34.666666666666664,18.6188045,37.083333333333336,8.0,0.5177985,0.8068333333333334,55.285714285714285,0.03452157142857143,0.05542857142857143,93.6770834375,164.08125,93.6770834375,164.08125
277,Fresno,2020-10-14,10,90,Moderate,36.841592,-119.874739,23.0,2.1458335,12.8,36.166666666666664,17.389855166666667,38.666666666666664,8.0,0.5038655,0.8613333333333334,63.42857142857143,0.038235285714285715,0.05714285714285715,85.009375,164.54375,85.009375,164.54375
278,Fresno,2020-10-15,10,122,Unhealthy for Sensitive Groups,36.819449,-119.716433,3.0,0.76875,2.1,29.5,18.070223833333333,31.883333333333336,8.0,0.5456313333333334,0.7743333333333333,91.28571428571429,0.04027728571428572,0.06571428571428571,89.8966145,165.50625,89.8966145,165.50625
279,Fresno,2020-10-16,10,150,Unhealthy for Sensitive Groups,36.819449,-119.716433,0.0,0.4086955,0.75,33.0,20.334058,35.266666666666666,9.333333333333334,0.668024,1.0013333333333334,108.42857142857143,0.047728285714285716,0.07271428571428572,96.1179686875,168.38125,96.1179686875,168.38125
280,Fresno,2020-10-17,10,151,Unhealthy,36.985119,-119.658339,1.0,0.4729165,1.2000000000000002,35.0,17.153656166666668,37.449999999999996,12.666666666666666,0.6666413333333333,1.3081666666666667,106.5,0.04250983333333334,0.07216666666666667,78.851562375,172.6625,78.851562375,172.6625
281,Fresno,2020-10-18,10,153,Unhealthy,36.985119,-119.658339,0.0,0.40208350000000004,0.8,31.666666666666668,15.528112666666667,34.166666666666664,13.666666666666666,0.6600343333333333,1.1521666666666668,91.66666666666667,0.03799983333333334,0.0675,88.8278645625,168.88125,88.8278645625,168.88125
282,Fresno,2020-10-19,10,153,Unhealthy,36.985119,-119.658339,0.0,0.3958335,0.8,37.666666666666664,19.497826166666666,40.166666666666664,10.333333333333334,0.64883,1.0571666666666666,75.57142857142857,0.03351342857142857,0.059428571428571435,87.8296875,163.06875,87.8296875,163.06875
283,Fresno,2020-10-20,10,132,Unhealthy for Sensitive Groups,36.985119,-119.658339,1.0,0.5354165,1.4,37.166666666666664,20.086956333333333,39.949999999999996,10.0,0.5682191666666667,0.9505,70.28571428571429,0.03636542857142857,0.059571428571428574,89.1694195625,170.24375,89.1694195625,170.24375
284,Fresno,2020-10-21,10,157,Unhealthy,36.985119,-119.658339,0.0,0.3125,0.7,35.166666666666664,18.334181833333332,37.73333333333333,9.0,0.5684181666666667,0.9093333333333332,53.142857142857146,0.031638571428571426,0.054285714285714284,83.7671875,167.65,83.7671875,167.65
285,Fresno,2020-10-22,10,152,Unhealthy,36.985119,-119.658339,1.0,0.42083349999999997,1.0,27.0,15.329827666666667,28.983333333333334,8.666666666666666,0.5100748333333334,0.8489999999999999,71.0,0.038856999999999996,0.059571428571428574,112.49159225,165.05,112.49159225,165.05
286,Fresno,2020-10-23,10,88,Moderate,36.819449,-119.716433,0.0,0.275,0.6499999999999999,30.0,16.059420166666666,32.63333333333333,7.0,0.39061983333333333,0.7286666666666667,40.42857142857143,0.027193285714285715,0.04342857142857143,115.9411458125,167.58125,115.9411458125,167.58125
287,Fresno,2020-10-24,10,67,Moderate,36.985119,-119.658339,0.0,0.2729165,0.55,25.666666666666668,13.564822166666666,27.733333333333334,14.0,0.6130851666666667,1.7279999999999998,44.57142857142857,0.033159714285714285,0.04814285714285714,119.1429688125,174.2125,119.1429688125,174.2125
288,Fresno,2020-10-25,10,47,Good,36.634225,-120.382331,0.0,0.025,0.1,12.333333333333334,6.345619166666666,13.683333333333332,11.666666666666666,0.28238633333333335,0.6795,36.285714285714285,0.029420285714285715,0.03928571428571429,134.980989625,174.11875,134.980989625,174.11875
289,Fresno,2020-10-26,10,107,Unhealthy for Sensitive Groups,36.819449,-119.716433,0.0,0.0835405,0.4,23.833333333333332,12.7057625,25.616666666666664,6.0,0.32810266666666665,0.605,23.285714285714285,0.015058857142857143,0.02514285714285714,111.536458375,169.28125,111.536458375,169.28125
290,Fresno,2020-10-27,10,87,Moderate,36.819449,-119.716433,0.0,0.2020835,0.6,33.166666666666664,16.2971015,35.36666666666667,9.0,0.4543858333333333,1.0326666666666666,33.714285714285715,0.021193428571428568,0.036571428571428574,73.87916675,152.675,73.87916675,152.675
291,Fresno,2020-10-28,10,82,Moderate,36.710833,-119.7775,3.0,0.3625,1.6,32.333333333333336,19.143478333333334,34.96666666666667,10.0,0.5776910000000001,1.02,43.0,0.02637357142857143,0.04642857142857143,74.319270875,165.51875,74.319270875,165.51875
292,Fresno,2020-10-29,10,87,Moderate,36.710833,-119.7775,0.0,0.1875,0.45,34.666666666666664,21.545652166666667,37.11666666666667,10.666666666666666,0.6914476666666666,1.0775,43.857142857142854,0.027537714285714283,0.04757142857142858,82.281250125,169.01875,82.281250125,169.01875
293,Fresno,2020-10-30,10,132,Unhealthy for Sensitive Groups,36.985119,-119.658339,0.0,0.18541649999999998,0.35,38.333333333333336,20.988406,41.28333333333333,12.666666666666666,0.7417360000000001,1.3606666666666667,48.42857142857143,0.02966385714285714,0.05114285714285714,80.454947875,171.95,80.454947875,171.95
294,Fresno,2020-10-31,10,136,Unhealthy for Sensitive Groups,36.78538,-119.77321,1.0,0.31666649999999996,0.8,36.666666666666664,18.9889,39.35,15.333333333333334,0.8114309999999999,1.5211666666666668,65.14285714285714,0.03545371428571429,0.05914285714285714,77.2440104375,162.43125,77.2440104375,162.43125
295,Fresno,2020-11-01,11,139,Unhealthy for Sensitive Groups,36.985119,-119.658339,0.0,0.25625,0.55,36.0,17.54680516666667,38.53333333333333,15.333333333333334,0.7979525000000001,1.4729999999999999,62.0,0.033251857142857145,0.05728571428571429,82.00234375,172.20625,82.00234375,172.20625
296,Fresno,2020-11-02,11,148,Unhealthy for Sensitive Groups,36.710833,-119.7775,1.0,0.3416665,1.0,39.5,23.119565166666664,41.9,14.333333333333334,0.8904960000000001,1.3575,46.57142857142857,0.029487428571428574,0.049999999999999996,95.75859368750001,168.76875,95.75859368750001,168.76875
297,Fresno,2020-11-03,11,154,Unhealthy,36.710833,-119.7775,0.0,0.31666649999999996,0.7,41.666666666666664,23.407970833333334,44.4,13.666666666666666,0.8304035000000001,1.4271666666666665,65.5,0.031509499999999996,0.05833333333333333,83.552083375,153.90625,83.552083375,153.90625
298,Fresno,2020-11-04,11,122,Unhealthy for Sensitive Groups,36.710833,-119.7775,0.0,0.3479165,0.8500000000000001,34.166666666666664,20.736232,36.53333333333333,13.666666666666666,0.7521323333333333,1.1781666666666666,50.57142857142857,0.027088857142857144,0.05171428571428571,89.7265624375,166.1875,89.7265624375,166.1875
299,Fresno,2020-11-05,11,111,Unhealthy for Sensitive Groups,36.710833,-119.7775,0.0,0.4354165,0.8500000000000001,40.666666666666664,22.536232,43.61666666666667,10.333333333333334,0.6797033333333333,1.137,47.57142857142857,0.030663857142857142,0.04985714285714286,58.9078125,129.775,58.9078125,129.775
300,Fresno,2020-11-06,11,86,Moderate,36.819449,-119.716433,0.0,0.0742235,0.25,24.333333333333332,9.7971015,26.0,10.0,0.362948,0.8136666666666666,34.285714285714285,0.02850414285714286,0.03728571428571429,128.5002604375,177.325,128.5002604375,177.325
301,Fresno,2020-11-07,11,34,Good,36.985119,-119.658339,0.0,0.0,0.0,16.166666666666668,8.571607333333333,17.583333333333332,4.333333333333333,0.283553,0.41300000000000003,30.571428571428573,0.022663857142857142,0.032857142857142856,107.2466146875,163.28125,107.2466146875,163.28125
302,Fresno,2020-11-08,11,32,Good,36.819449,-119.716433,0.0,0.0,0.0,17.833333333333332,8.4940055,19.283333333333335,4.666666666666667,0.25482333333333335,0.518,28.142857142857142,0.017277428571428572,0.030285714285714284,94.586458375,174.78125,94.586458375,174.78125
303,Fresno,2020-11-09,11,44,Good,36.819449,-119.716433,0.0,0.0625,0.15000000000000002,26.666666666666668,15.162167833333333,28.866666666666664,6.666666666666667,0.42363166666666663,0.6731666666666666,26.571428571428573,0.014781571428571427,0.028571428571428574,81.5979166875,167.675,81.5979166875,167.675
304,Fresno,2020-11-10,11,76,Moderate,36.710833,-119.7775,0.0,0.1375,0.25,31.166666666666668,18.435144833333332,33.583333333333336,9.0,0.5660738333333334,0.9501666666666666,28.285714285714285,0.015378142857142856,0.030428571428571426,85.104427,162.6875,85.104427,162.6875
305,Fresno,2020-11-11,11,80,Moderate,36.72639,-119.733,0.0,0.1416665,0.35,26.166666666666668,17.599788666666665,27.76666666666667,9.0,0.4478328333333333,0.7171666666666666,32.42857142857143,0.020546000000000002,0.034999999999999996,93.697916625,170.29375000000002,93.697916625,170.29375000000002
306,Fresno,2020-11-12,11,93,Moderate,36.710833,-119.7775,0.0,0.11875000000000001,0.25,30.5,19.971497499999998,32.733333333333334,7.666666666666667,0.5155721666666667,0.7919999999999999,35.714285714285715,0.021991571428571426,0.038714285714285715,88.172916625,171.95,88.172916625,171.95
